1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.0,100.0,1.0,100.0,1.0,100.0
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
1.67,95.1,1.67,95.1,2.0,79.25
2.0,100.0,2.0,100.0,2.0,100.0
2.0,100.0,2.0,100.0,2.0,100.0
2.0,100.0,2.0,100.0,2.0,100.0
2.0,100.0,2.0,100.0,2.0,100.0
2.0,100.0,2.0,100.0,2.0,100.0
2.0,100.0,2.0,100.0,2.0,100.0
2.0,100.0,2.0,100.0,2.0,100.0
2.0,100.0,2.0,100.0,2.0,100.0
2.0,100.0,2.0,100.0,2.0,100.0
2.0,100.0,2.0,100.0,2.0,100.0
2.0,100.0,2.0,100.0,2.0,100.0
2.0,100.0,2.0,100.0,2.0,100.0
2.0,100.0,2.0,100.0,2.0,100.0
2.0,100.0,2.0,100.0,2.0,100.0
2.0,100.0,2.0,100.0,2.0,100.0
2.0,100.0,2.0,100.0,2.0,100.0
