0.1116,0.0849,0.0758,0.0754,0.0716,0.0695,0.0665,0.0573,0.0548,0.0453,0.0363,0.0338,0.0316,0.0301,0.03,0.0247,0.0207,0.0181,0.0178,0.0129,0.011,0.0101,0.0029,0.0027,0.0023,0.0023
1111,1110,110,1011,1010,100,0111,0110,01011,01010,0100,00111,00110,00101,00100,000111,000110,00010,000011,000010,0000011,0000010,00000011,00000010,00000001,00000000,4.35,4.25,97.59
0.1116,0.0849,0.0758,0.0754,0.0716,0.0695,0.0665,0.0573,0.0548,0.0453,0.0363,0.0338,0.0316,0.0301,0.03,0.0247,0.0207,0.0181,0.0178,0.0129,0.011,0.0101,0.0029,0.0027,0.0023,0.0023
010,1111,1110,1101,1011,1010,1001,0110,0011,0001,11001,10001,10000,01111,01110,00101,00001,110001,110000,001001,001000,000000,00000111,00000110,00000100,00000101,4.28,4.25,99.38
0.1116,0.0849,0.0758,0.0754,0.0716,0.0695,0.0665,0.0573,0.0548,0.0453,0.0363,0.0338,0.0316,0.0301,0.03,0.0247,0.0207,0.0181,0.0178,0.0129,0.011,0.0101,0.0029,0.0027,0.0023,0.0023
0000,0001,0011,0100,0101,0110,0111,10001,10011,10101,10110,10111,11001,110100,110110,110111,111001,111010,111100,1111010,1111011,1111101,111111010,111111100,111111101,111111110,4.69,4.25,90.52
