2,1,69.7067,1.3306,51.0296,1,69.7067
3,1.3374,84.9233,1.6493,69.2366,1.3575,83.7768
4,1.6077,85.4195,1.9241,71.627,1.6702,83.0736
5,1.8111,90.5523,2.1111,77.9891,1.9833,83.9613
6,1.9645,91.6044,2.1975,82.09,2.1264,85.6799
7,2.073,91.7474,2.3392,81.4071,2.3337,83.6214
8,2.2257,91.5397,2.4979,81.6357,2.5274,82.624
9,2.3541,93.483,2.6575,82.967,2.7884,81.3972
10,2.4335,93.3996,2.6846,84.8308,2.8587,81.7557
11,2.5758,94.067,2.8412,85.4506,3.1628,79.578
12,2.6292,92.5777,2.8673,84.8957,3.2342,78.6456
13,2.6239,94.2249,2.8631,86.5041,3.1111,82.7446
14,2.7148,94.0897,2.9885,85.6065,3.362,79.9367
15,2.7851,93.576,3.0514,85.523,3.358,81.1359
16,2.9842,93.1571,3.3022,84.3337,3.85,76.1416
17,2.9668,93.7083,3.2366,85.9948,3.6971,78.783
18,3.0196,93.5853,3.3002,85.7506,3.874,76.8116
19,2.9674,93.9698,3.2182,86.762,3.6995,78.897
20,3.0778,94.289,3.3022,87.9781,3.7385,80.6162
21,3.124,93.7256,3.3564,87.3447,3.9254,77.9618
22,3.1924,93.3213,3.4168,87.222,4.1179,76.2565
23,3.1773,94.5826,3.4098,88.198,4.0264,78.9189
24,3.2277,94.3394,3.4293,88.8802,4.0607,79.0562
25,3.2862,94.4745,3.4889,89.0877,4.1618,79.2039
26,3.339,94.0904,3.5913,87.5979,4.504,74.7381
27,3.3617,94.3416,3.6057,88.0473,4.4022,76.683
28,3.3812,94.1148,3.6196,88.0078,4.4251,76.5679
29,3.3539,94.1944,3.597,87.9043,4.3259,77.4815
30,3.4922,93.1416,3.7495,86.8017,4.7436,73.2365
31,3.468,94.0477,3.7661,86.732,4.6353,74.9014
32,3.489,94.098,3.7678,87.2107,4.5162,77.2822
33,3.5384,93.884,3.808,87.2988,4.5923,76.7938
34,3.4876,94.0918,3.7488,87.6375,4.4917,77.3961
35,3.6101,93.5138,3.863,87.4513,4.7891,74.9012
36,3.6036,93.8196,3.8596,87.6877,4.7878,75.1311
37,3.5998,94.0275,3.8188,88.6708,4.6173,77.6036
38,3.5857,94.35,3.8291,88.4368,4.6439,77.295
39,3.5964,94.4994,3.8055,89.3542,4.5462,79.1623
40,3.6867,94.1838,3.9088,88.9246,4.7844,76.8459
41,3.6165,94.5549,3.8128,89.7479,4.4808,80.2626
42,3.6999,94.2696,3.902,89.4639,4.7985,77.0421
43,3.7094,94.4362,3.8963,89.9405,4.6882,78.8075
44,3.6964,94.1264,3.8834,89.6197,4.6544,78.9187
45,3.7576,94.4569,3.9727,89.4048,4.897,76.762
46,3.7573,94.6742,3.9527,90.0776,4.8184,78.6103
47,3.8334,94.3408,4.0428,89.5097,5.1298,75.3913
48,3.8091,94.4675,4.012,89.7496,5.0498,76.5551
49,3.8948,93.5079,4.0939,89.007,5.3988,72.6444
50,3.7382,94.9451,3.9226,90.5378,4.7328,79.9731
